,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
2102,0,2,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2103,0,2,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2104,0,2,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2105,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2106,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2107,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2108,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2109,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2111,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2112,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2113,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2114,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2115,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2116,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2117,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2118,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2119,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2120,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2121,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2124,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2126,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2127,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2128,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2129,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2130,0,2,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2131,0,2,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2132,0,2,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2133,0,2,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2134,0,2,0,0,0,6,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2135,0,2,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2136,0,2,0,0,0,8,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2137,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2138,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2139,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2140,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2141,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2142,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2143,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2144,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2145,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2146,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2147,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2148,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2149,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2150,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2151,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2152,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2153,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2154,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2155,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2156,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2157,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2158,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2159,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2160,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2161,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2162,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2163,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2164,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2165,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2166,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2167,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2168,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2169,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2171,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2172,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2173,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2174,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2175,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2176,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2177,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2178,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2179,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2180,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2181,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2182,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2183,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2184,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2185,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2186,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2187,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2188,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2189,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2190,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2191,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2192,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2193,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2194,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2195,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2196,0,2,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2197,0,1,0,0,0,9,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2199,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2202,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2204,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2206,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2207,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2208,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2209,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2210,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2211,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2212,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2213,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2214,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2215,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2216,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2217,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2218,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2219,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2220,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2221,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2222,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2223,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2224,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2225,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2226,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2227,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2228,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2229,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2230,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2231,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2232,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2233,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2234,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2235,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2236,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2237,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2238,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2239,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2240,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2241,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
